segment_id,lifecycle_stage,user_count,day_range,primary_goal,sub_goals,daily_theme,notification_cta,success_metric
Community Builders,paid,2,D23-D30,User identifies as part of the SpeakX community — drives organic retention,Complete month-end group challenge; Earn community badge; Re-commit for next month,D23-D26: Community challenge final stretch. D27: 'You helped 3 friends start their English journey this month.' D28-D30: Community celebration with special badge.,Complete the month-end group challenge,Monthly retention; Community badge earn rate
Core Curriculum Users,paid,1,D8-D14,Identify which feature creates strongest personal resonance,"Try AI Tutor, leaderboard, progress report at least once; Track highest follow-through feature",D8-D10: AI Tutor deep dive. D11-D12: Progress report and achievements view. D13-D14: Light leaderboard intro ('See how you compare this week').,Explore a feature you have not tried yet,Feature variety index; Session follow-through rate
Core Curriculum Users,paid,1,D15-D22,Double down on the feature that drove highest engagement in D8-D14,Complete 5 sessions using dominant feature; Build consistent usage; Connect to learning goal,"D15: 'Based on your practice, you love [feature] — here is how to get even more from it.' D18: Progress snapshot tied to that feature. D22: Milestone celebration.",Continue your top feature session today,Dominant feature sessions per week
Core Curriculum Users,paid,1,D23-D30,Tie all features into a complete daily routine,Build 7-day streak; Complete cross-feature session; Month-end summary,"D23-D26: Cross-feature synthesis push. D27: 'Review your report, practice weak words with Sia, then check your rank.' D28-D30: Month-end wrap-up.",Complete your full daily routine today,Monthly retention; Feature diversity score
Dormant Users,inactive,8,D1-D5 (Post-Inactivity),Maintain brand warmth without triggering uninstall,Stay top-of-mind without pressure; Deliver one value message; No conversion ask,D1-D3: Complete silence. D4: One warm message — 'Learning takes time. Sia is here whenever you are ready.' D5: Optional — inspiring story from another learner.,Come back whenever you are ready — Sia is waiting,Uninstall rate on this window; D4 open rate
Dormant Users,inactive,8,D6-D14 (Post-Inactivity),One session restart with zero friction,Complete one micro-lesson; Reconnect with personal goal; Trigger positive emotion,"D6: 'Just 1 minute with Sia today — no pressure, no streak reset.' D10: Nostalgia — show all-time best streak or top achievement. D14: Micro-commitment — '60 seconds, no speaking required.'",1-minute exercise — just to say hi to Sia,Reactivation rate (session restart %)
Dormant Users,inactive,8,D15+ (Post-Inactivity),Convert reactivated user into consistent weekly learner,Complete 3 sessions in a week; Deliver exclusive incentive; Reset positive streak,"D15: '2x coins on every lesson this week — just for coming back.' D20: New feature or content they have not seen. D30+: If no response, reduce to 1 notification per week.",Claim your 2x coins welcome-back offer,Win-back conversion rate; Week-3 retention after reactivation
Lost Customers,churned,8,D1-D7 (Post-Churn),Trigger positive recall — remind them of their best moments,Deliver one high-impact nostalgia message; No hard sell; Keep uninstall rate below 1%,"D1-D3: Silence. D4: 'You learned 500+ words with us. That knowledge is yours forever.' D7: Share personal best stats (longest streak, total exercises, words learned).",See everything you accomplished with SpeakX,Nostalgia message open rate; Uninstall rate on this window
Lost Customers,churned,8,D8-D15 (Post-Churn),Remove the 'I already tried it' objection with genuinely new content,Announce new feature or content update; Address likely churn reason; Offer frictionless re-entry,"D8: 'A lot has changed since you left — new role-plays, updated leaderboard, and more.' D12: Specific new feature deep-link. D15: 'Come back and see — no commitment needed.'",See what is new in SpeakX,Re-install or reactivation click rate
Lost Customers,churned,8,D16-D30 (Post-Churn),Convert churned user to paid subscriber with targeted offer,Deliver time-limited exclusive offer; Reduce price friction; Create urgency without pressure,"D16: '40% off your first month back — valid 72 hours only.' D20: Reminder if not clicked. D25: Social proof ('1,200 users came back this month'). D30+: If no response, 1 notification per month.",Claim your 40% win-back offer — 72 hours only,Churned user reactivation rate; Revenue recovered
