template_id,segment_id,lifecycle_stage,day_range,slot_num,slot_name,theme_role,theme_expressed,slot_swapped,primary_theme,secondary_theme,tones_used,hooks_used,emotional_core,message_title_en,message_body_en,cta_text_en,message_title_hi,message_body_hi,cta_text_hi,quality_flag
TPL_0016,Lost Customers,churned,D1-D7 (Post-Churn),1,Sia's Observation,primary,Epic Meaning,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,You had a remarkable progress with SpeakX,Your Progress,You learned 500 words with us,See Progress,Yaad hai jab 500 words seekhe the,Sab kuch abhi bhi wahin hai,dekho apni mehnat,OK
TPL_0017,Lost Customers,churned,D1-D7 (Post-Churn),2,The Honest Number,primary,Epic Meaning,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,reminding of past progress to trigger nostalgia,Your Progress,23 words learned in a week,See Progress,Yaad hai jab,Is hafte 23 words seekhe the, Dekho pura safar,OK
TPL_0018,Lost Customers,churned,D1-D7 (Post-Churn),3,The Memory,primary,Epic Meaning,True,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,Remembering past achievements,Your Streak Remains,You once built a 14-day streak,See Achievements,Sab kuch abhi bhi wahin hai,14 din ka streak banaya tha aapne, Dekho pura safar,OK
TPL_0019,Lost Customers,churned,D1-D7 (Post-Churn),4,Half Story,secondary,Empowerment,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,Remembering past progress sparks motivation,Your Progress,You learned 500 words with us,See All,Yaad Hai Jab,Aapne 500 words seekhe the, Dekho Purana,OK
TPL_0020,Lost Customers,churned,D1-D7 (Post-Churn),5,The Memory,secondary,Empowerment,True,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,remembering your best moments with SpeakX,Your Best Streak,You had a 14-day streak once,See Achievements,Yaad hai woh streak,Aapne 14 din ka streak banaya tha, Dekho pura record,OK
TPL_0021,Lost Customers,churned,D8-D15 (Post-Churn),1,Sia's Observation,primary,Epic Meaning,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,"You had a spark with SpeakX, let's rekindle it",What's New,"New role-plays, updated leaderboard",See Now,kya badlav hai,"naye role-plays, leaderboard update hai",dekho ab,OK
TPL_0022,Lost Customers,churned,D8-D15 (Post-Churn),2,The Honest Number,primary,Epic Meaning,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,"you've made progress before, come see what's new",New Role-Plays,23 words added this week,See What's New,Yaad hai jab 47 words seekhe the?,Is hafte 23 naye words aaaye,dekho kya hai naya,OK
TPL_0023,Lost Customers,churned,D8-D15 (Post-Churn),3,The Memory,primary,Epic Meaning,True,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,reminding of past progress,Your Streak,You had a 14-day streak,See Progress,Yaad hai woh streak,14 din ka streak tha aapka,dekho kya hai,OK
TPL_0024,Lost Customers,churned,D8-D15 (Post-Churn),4,Half Story,secondary,Empowerment,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,Rekindling the spark of learning,New Role Plays,You were close to mastering,See What's New,Naye role plays hai,Aap toh bas itna door the,dekho kya hai,OK
TPL_0025,Lost Customers,churned,D8-D15 (Post-Churn),5,Real India,secondary,Empowerment,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,Sia prepared you for real-life English conversations,Speak English Confidently,"Next office meeting, Sia's got you covered",See What's New,Yaad hai jab pehli baar Sia se...,Ab office meeting mein akad nahi kheechenge,Naya kya hai dekho,TRUNCATED_message_title_hi
TPL_0026,Lost Customers,churned,D16-D30 (Post-Churn),1,Sia's Observation,primary,Epic Meaning,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,"You had a great start, don't let it fade",Miss You,14-day streak still remembered,Claim Now,Yaad Hai Jab,14 din ka streak abhi bhi yaad hai,Abhi Claim Karo,OK
TPL_0027,Lost Customers,churned,D16-D30 (Post-Churn),2,The Honest Number,primary,Epic Meaning,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence," Rediscover your progress, 47 words await",Missed 47 words,"Your average was 12, now 47",Claim 40% off,Yaad hai 47 words,Aapne 12 ki jagah 47 seekhe the,Offer lo abhi,OK
TPL_0028,Lost Customers,churned,D16-D30 (Post-Churn),3,Soft Claim,primary,Epic Meaning,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,you have unfinished progress,Claim Your 40%,Your progress is waiting,Get 40% Off,Yaad hai jab seekhna shuru kiya tha,Sab kuch abhi bhi wahin hai,Aaj claim kar lo,OK
TPL_0029,Lost Customers,churned,D16-D30 (Post-Churn),4,Half Story,secondary,Empowerment,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,reminding of past progress to rekindle motivation,Your Streak,"was 14 days long, remember?",Restart Now,Yaad Hai Jab,"14 din ka streak banaya tha, yaad hai?",Phir Se Shuru,OK
TPL_0030,Lost Customers,churned,D16-D30 (Post-Churn),5,Real India,secondary,Empowerment,False,Epic Meaning,Empowerment,empathetic | aspirational | gentle,future_self | real_life_confidence | restart_small | rebuild_confidence,rekindle lost confidence with a gentle win-back offer,40% Off,Your English skills are waiting,Claim Now,Yaad hai jab Sia se baat ki...,Ab wahi confidence waapas lao,Offer claim karo,TRUNCATED_message_title_hi
TPL_0031,High-Intent Trialists,trial,D0-D1,1,Sia's Observation,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,"You're making progress, don't stop now",First Step Done,"You started, that's a win",Continue Now,Shuruaat ho gayi,"Aapne shuruaat ki, bas aage badho",Aage badho ab,OK
TPL_0032,High-Intent Trialists,trial,D0-D1,2,The Honest Number,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,Progress feels achievable with small steps,Your First Step,47 words ahead of average learners,Start Lesson,Pehla step le lo,"47 words, average se aage",Lesson shuru karo,OK
TPL_0033,High-Intent Trialists,trial,D0-D1,3,Soft Claim,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,Collect your first lesson with Sia,Your First Lesson,Start with Sia in 2 minutes,Start Now,Pehla Lesson Tumhara Hai,Sia ke saath bas 2 min,Shuru Karein,OK
TPL_0034,High-Intent Trialists,trial,D0-D1,4,Half Story,secondary,Ownership,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,taking ownership of English learning,Your Goal,Start first lesson with Sia,Continue Now,Aapka Target,Sia ke saath pehla lesson shuru karo,Ab Shuru Kro,OK
TPL_0035,High-Intent Trialists,trial,D0-D1,5,Real India,secondary,Ownership,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,Sia prepares you for real Indian life moments,Ace Office Presentation,Sia has your back for that big meeting,Start Lesson,Presentation ke liye taiyar,Sia aapki presentation mein madad karegi,Shuru karo ab,OK
TPL_0036,High-Intent Trialists,trial,D2-D5,1,Sia's Observation,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,Recognizing the user's consistent effort,2 Days Streak,"You're back again, nice habit",Keep Going,Lagatar 2 din,"Aap wapas aa rahe ho, acchi aadat hai",Aage badho,OK
TPL_0037,High-Intent Trialists,trial,D2-D5,2,The Honest Number,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,celebrating small wins to motivate continued practice,2 Days Strong,"47 words practiced, beating the average 12",Learn Now,Dheere dheere aage badh rahe ho,"47 words seekhe, aur woh bhi sirf 2 din mein",Abhi seekho,OK
TPL_0038,High-Intent Trialists,trial,D2-D5,3,Soft Claim,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,celebrating progress to motivate continuation,Streak Day 2,Collect your bonus coins,Learn Now,Aaj phir se seekho,Bonus coins mil rahe hain,Abhi seekho,OK
TPL_0039,High-Intent Trialists,trial,D2-D5,4,Half Story,secondary,Ownership,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,owning progress,Streak On,"2 days in, what's next",Learn Now,Aaj ka time,Din bhar mein ek break,Ab seekho,OK
TPL_0040,High-Intent Trialists,trial,D2-D5,5,Real India,secondary,Ownership,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,Taking control of your English skills for real-life moments,Own Your English,Speak confidently in your next office meeting,Learn Now,Apni English ko apne kabu mein,Agli meeting mein khud ko accha dikhao,Ab seekho,OK
TPL_0041,High-Intent Trialists,trial,D6-D7,1,Sia's Observation,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,"You're making progress, don't stop now",Streak Alert,"7 days, 60 words, keep going",Upgrade Now,Teri mehnat sai,"7 din, 60 shabdon ki safar, abhi rukna nahi",Agla kadam lo,OK
TPL_0042,High-Intent Trialists,trial,D6-D7,2,The Honest Number,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,celebrating progress and encouraging upgrade,Learned 47 Words,23 more than average learners this week,Unlock Now,Is hafte 47 words seekhe,"Average se 23 zyada, ek baar dekho",Abhi kholein,OK
TPL_0043,High-Intent Trialists,trial,D6-D7,3,Soft Claim,primary,Accomplishment,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,"you're making progress, don't let it slip",Streak On Track,"7 days, 60 words, keep going",Upgrade Now,Teri Streak Chal Rahi Hai,"7 din, 60 words, abhi tak aage badh",Abhi Upgrade Kar,OK
TPL_0044,High-Intent Trialists,trial,D6-D7,4,Half Story,secondary,Ownership,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,You're close to unlocking your full potential,Unlock Progress,Continue where you left off,Upgrade Now,Apni tarakki ko unlock karo,Jaha pe chhodha tha waha se shuru karo,Abhi upgrade karo,OK
TPL_0045,High-Intent Trialists,trial,D6-D7,5,Real India,secondary,Ownership,False,Accomplishment,Ownership,motivating | progress-focused | encouraging,streak_start | milestone_progress | your_learning_path | next_step,owning English skills for real-life Indian moments,Speak English Confidently,"Next office presentation, own it",Upgrade Now,"Aapki English, aapke kaam ka hissa",Pehla interview mein confident feel karna hai,Abhi Upgrade Karo,OK
TPL_0046,Slipping Subscribers,paid,D8-D14,1,Sia's Observation,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,Recognizing the user's ability to come back to the app after a break,Back on track,You always return after a break,Practice now,Wapas aa gaye,Aap hamesha break ke baad wapas aate hain,Ab practice karo,OK
TPL_0047,Slipping Subscribers,paid,D8-D14,2,The Honest Number,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,empowering users with their progress,Small Wins,"47 words this week, better than average",Practice Now,Chota sa progress,"Is hafte 47 words seekhe, average se zyada",Ab practice karo,OK
TPL_0048,Slipping Subscribers,paid,D8-D14,3,Soft Claim,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,"Collect your reward, it's already yours",Claim Your Coins,2 minutes secures your coins,Practice Now,Aapke coins intezaar kar rahe,2 min mein coins safe ho jaayenge,Ab practice karo,OK
TPL_0049,Slipping Subscribers,paid,D8-D14,4,Half Story,secondary,Ownership,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,don't let your progress slip,Streak on Line,2 min saves it,Practice Now,Todna Mat Yaar,Sirf 2 min bacha sakte hain,Ab Shuru Kar,OK
TPL_0050,Slipping Subscribers,paid,D8-D14,5,Real India,secondary,Ownership,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,don't let your progress slip away,Job Interview,English for that zoom call,Practice Now,Office mein English,Zoom call ke liye taiyaar,Ab practice karo,OK
TPL_0051,Slipping Subscribers,paid,D15-D22,1,Sia's Observation,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,"You're making progress, don't let it slip",Streak on the line,One session keeps it alive,Start now,Aaj ka lesson mat chhodna,Ek session se streak bacha lena,Shuru karo ab,OK
TPL_0052,Slipping Subscribers,paid,D15-D22,2,The Honest Number,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,"you're making progress, don't stop now",17 words ahead,"Average learners manage 12, you're getting ahead",Complete now,Teri mehnat 17 shabdon tak,"Average seekers 12 shabdon tak pohachte hain, tu aage badh raha hai",Ab complete kar,OK
TPL_0053,Slipping Subscribers,paid,D15-D22,3,Soft Claim,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,Your progress is worth keeping,Evening Practice,Collect your progress,Start Now,Shaam ka practice,Apni mehnat ko jodna hai,Shuru karo,OK
TPL_0054,Slipping Subscribers,paid,D15-D22,4,Half Story,secondary,Ownership,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,take control of your daily English practice,Evening Session,Finish what you started,Start Now,Shaam ka session toh baki hai,Aaj ki mehnat adhoori hai,Chalo shuru karte hain,OK
TPL_0055,Slipping Subscribers,paid,D15-D22,5,Real India,secondary,Ownership,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,Own your English skills in real-life situations,Office Email,Reply to a client email in English,Start now,Office mein email likhne ka time,Abhi ek email likhna hai,Shuru karo,OK
TPL_0056,Slipping Subscribers,paid,D23-D30,1,Sia's Observation,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,"You're close to a 7-day streak, don't let it slip",Streak Alert,"You're almost at 7 days, just one session away",Lock it in,Lagta hai streak todne wala hai,"Sirf ek session aur, 7 din ka streak ban jayega",Abhi kar lo,OK
TPL_0057,Slipping Subscribers,paid,D23-D30,2,The Honest Number,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,"You're close to a 7-day streak, don't let it slip",Streak Alert,"23 words this week, more than average",Open Now,Streak tod mat yaar,"Is hafte 23 words seekhe, average se zyada",Chal na,OK
TPL_0058,Slipping Subscribers,paid,D23-D30,3,Soft Claim,primary,Empowerment,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,you're close to securing your progress,Streak On Track,One session keeps it safe,Lock Now,Teri mehnat safestay hai,"Ek session kar, safe ho jaayega",Ab lock kar,OK
TPL_0059,Slipping Subscribers,paid,D23-D30,4,Half Story,secondary,Ownership,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,protect your progress,Streak Alert,one session away from,Open App,Tod mat streak,Ek session aur bas,Chal na,OK
TPL_0060,Slipping Subscribers,paid,D23-D30,5,Real India,secondary,Ownership,False,Empowerment,Ownership,supportive | gentle | encouraging,easy_restart | continue_where_left | plan_waiting | momentum_recovery,own your English progress in real life,Salary Talk,Next office email in English?,Speak Now,Salary negotiation ke liye taiyaar,Office mein English email likhne ka mann hai?,Bolna shuru karo,OK
TPL_0061,Dormant Users,inactive,D1-D5 (Post-Inactivity),1,Sia's Observation,primary,Unpredictability,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,noticing user's quiet pattern,Your Pace,You always come back after a break,Come back,Aapki chal,Aap break ke baad wapas aate hain,Wapas aa jao,OK
TPL_0062,Dormant Users,inactive,D1-D5 (Post-Inactivity),2,The Honest Number,primary,Unpredictability,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,progress is unpredictable and can happen at any time,Slow Progress,"47 words this week, more than average",Come Back,Achanak seekh jaoge,"Is hafte 47 words seekhe, average se zyada",Jab mann kare aa,TRUNCATED_cta_text_hi
TPL_0063,Dormant Users,inactive,D1-D5 (Post-Inactivity),3,The Memory,primary,Unpredictability,True,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,you had a great streak going,Your Best Day,You once spoke 100 words flawlessly,Come Back,Woh din yaad hai,100 words theek se bol liye the,Jab mann kare,OK
TPL_0064,Dormant Users,inactive,D1-D5 (Post-Inactivity),4,Half Story,secondary,Empowerment,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,Empowerment through gentle reminders,Sia Waits,"Learning paused, but not forgotten",Come Back,Sia tumhare liye wait kar rahi hai,Kabhi kabhi toh ek break lena bhi zaruri hai,Jab mann kare aa,TRUNCATED_cta_text_hi
TPL_0065,Dormant Users,inactive,D1-D5 (Post-Inactivity),5,The Memory,secondary,Empowerment,True,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,reminding user of their progress,Your Peak Streak,You learned 200 words in a row,Come Back,Aapka sabse accha din,Aapne 200 words ek dum seekhe the,Jab mann kare,OK
TPL_0066,Dormant Users,inactive,D6-D14 (Post-Inactivity),1,Sia's Observation,primary,Unpredictability,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,Sia notices a specific personal pattern in the user's behavior,Your Comeback Pattern,You always return after a break,Say Hi,Tumhe yaad hai woh din?,Aap hamesha wapas aate ho,Sia se baat karo,OK
TPL_0067,Dormant Users,inactive,D6-D14 (Post-Inactivity),2,The Honest Number,primary,Unpredictability,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,reconnect with minimal effort,Sia Awaits,"Just 1 minute, no pressure",Start Now,Sia wait kar rahi hai,"Bas 1 min, koi baat nahi",Chalo shuru karte,OK
TPL_0068,Dormant Users,inactive,D6-D14 (Post-Inactivity),3,The Memory,primary,Unpredictability,True,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,you had a great streak going,Your Best Streak,You once had a 14-day streak,Say Hi,tera best streak,tere 14 din ka streak yaad hai?,Sia se baat kar,OK
TPL_0069,Dormant Users,inactive,D6-D14 (Post-Inactivity),4,Half Story,secondary,Empowerment,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,Empowerment through small actions,Back on track,Just 1 minute with Sia,Start now,Chalo shuru karte hai,Bas 1 minute Sia ke saath,Shuru karo,OK
TPL_0070,Dormant Users,inactive,D6-D14 (Post-Inactivity),5,Real India,secondary,Empowerment,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,Empowerment through real-life application,Salary Talk,Next salary negotiation?,Talk Now,Salary negotiation ke liye taiyar,Agle salary negotiation mein kya bolege?,Bolne ka practice,OK
TPL_0071,Dormant Users,inactive,D15+ (Post-Inactivity),1,Sia's Observation,primary,Unpredictability,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,You're better than you think at coming back,Back Again,You always return after a break,Claim Now,Wapas aa gaye,Aap hamesha break ke baad wapas aate ho,Ab claim karo,OK
TPL_0072,Dormant Users,inactive,D15+ (Post-Inactivity),2,The Honest Number,primary,Unpredictability,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,discovering unexpected progress,2x Coins,"47 words this week, not bad",Claim Now,vaapas aa gaye,"is hafte 47 words seekhe, khud pata nahi chala",ab shuru karo,OK
TPL_0073,Dormant Users,inactive,D15+ (Post-Inactivity),3,Soft Claim,primary,Unpredictability,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,"You've got a reward waiting, just claim it",2x Coins Waiting,Collect your reward now,Get Coins,Tere 2x coins hai,AbHI claim kar le,Coins lo,OK
TPL_0074,Dormant Users,inactive,D15+ (Post-Inactivity),4,Half Story,secondary,Empowerment,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,Empowerment through small actions,Get Back,Finish what you started,Claim Now,Wapas aa gaye,Bas ek lesson aur,Ab shuru karo,OK
TPL_0075,Dormant Users,inactive,D15+ (Post-Inactivity),5,Real India,secondary,Empowerment,False,Unpredictability,Empowerment,curiosity-led | supportive | low-pressure,surprise_challenge | easy_restart | two_min_practice | new_prompt,Empowering users to feel confident in real-life English interactions,Salary Talk,Next salary negotiation? Sia has your back,Claim Now,Salary ke baat,Agle salary negotiation mein Sia tumhare saath hai,Ab Claim Karo,OK
