user_id,segment_id,lifecycle_day,notif_1_template,notif_1_time,notif_1_channel,notif_2_template,notif_2_time,notif_2_channel,notif_3_template,notif_3_time,notif_3_channel,notif_4_template,notif_4_time,notif_4_channel,notif_5_template,notif_5_time,notif_5_channel,notif_6_template,notif_6_time,notif_6_channel,notif_7_template,notif_7_time,notif_7_channel,notif_8_template,notif_8_time,notif_8_channel,notif_9_template,notif_9_time,notif_9_channel
US_15,Lost Customers,D16-D30 (Post-Churn),TPL_0041,late_afternoon,email,,,,,,,,,,,,,,,,,,,,,,,,
US_16,At-Risk Trialists,D0-D2,TPL_0006,afternoon,push,TPL_0007,night,push,TPL_0008,afternoon,push,,,,,,,,,,,,,,,,,,
US_17,Flight-Risk Subscribers,D24-D30,TPL_0026,mid_morning,push,TPL_0027,mid_morning,push,TPL_0028,evening,push,TPL_0029,afternoon,push,TPL_0030,late_afternoon,push,,,,,,,,,,,,
US_18,Slipping Subscribers,D24-D30,TPL_0046,late_afternoon,push,TPL_0047,late_afternoon,push,TPL_0048,night,push,TPL_0049,late_afternoon,push,TPL_0050,early_morning,push,,,,,,,,,,,,
US_19,Flight-Risk Subscribers,D24-D30,TPL_0026,late_afternoon,push,TPL_0027,afternoon,push,TPL_0028,night,push,,,,,,,,,,,,,,,,,,
US_20,Lost Customers,D16-D30 (Post-Churn),TPL_0041,late_afternoon,email,,,,,,,,,,,,,,,,,,,,,,,,
US_21,AI-Powered Learners,D24-D30,TPL_0001,late_afternoon,push,TPL_0002,mid_morning,push,TPL_0003,night,push,TPL_0004,early_morning,push,TPL_0005,early_morning,push,,,,,,,,,,,,
US_22,Slipping Subscribers,D24-D30,TPL_0046,night,push,TPL_0047,late_afternoon,push,TPL_0048,mid_morning,push,TPL_0049,early_morning,push,TPL_0050,afternoon,push,,,,,,,,,,,,
US_23,High-Intent Trialists,D6-D7,TPL_0036,afternoon,push,TPL_0037,late_afternoon,push,TPL_0038,night,push,,,,,,,,,,,,,,,,,,
US_24,Flight-Risk Subscribers,D24-D30,TPL_0026,afternoon,push,TPL_0027,early_morning,push,TPL_0028,night,push,TPL_0029,late_afternoon,push,TPL_0030,late_afternoon,push,,,,,,,,,,,,
US_25,Gamified Competitors,D24-D30,TPL_0031,late_afternoon,push,TPL_0032,evening,push,TPL_0033,mid_morning,push,TPL_0034,night,push,TPL_0035,early_morning,push,TPL_0031,late_afternoon,push,TPL_0032,late_afternoon,push,TPL_0033,early_morning,push,,,
US_26,AI-Powered Learners,D24-D30,TPL_0001,evening,push,TPL_0002,afternoon,push,TPL_0003,afternoon,push,TPL_0004,evening,push,TPL_0005,mid_morning,push,TPL_0001,early_morning,push,TPL_0002,late_afternoon,push,TPL_0003,evening,push,,,
US_27,High-Intent Trialists,D0-D2,TPL_0036,night,push,TPL_0037,night,push,TPL_0038,afternoon,push,,,,,,,,,,,,,,,,,,
US_28,Lost Customers,D16-D30 (Post-Churn),TPL_0041,late_afternoon,email,,,,,,,,,,,,,,,,,,,,,,,,
US_29,Gamified Competitors,D24-D30,TPL_0031,night,push,TPL_0032,afternoon,push,TPL_0033,late_afternoon,push,TPL_0034,evening,push,TPL_0035,late_afternoon,push,TPL_0031,mid_morning,push,TPL_0032,afternoon,push,TPL_0033,late_afternoon,push,,,
US_30,Gamified Competitors,D24-D30,TPL_0031,evening,push,TPL_0032,night,push,TPL_0033,late_afternoon,push,TPL_0034,mid_morning,push,TPL_0035,early_morning,push,,,,,,,,,,,,
US_31,Flight-Risk Subscribers,D24-D30,TPL_0026,afternoon,push,TPL_0027,night,push,TPL_0028,late_afternoon,push,TPL_0029,mid_morning,push,TPL_0030,afternoon,push,,,,,,,,,,,,
US_32,Community Builders,D24-D30,TPL_0011,evening,push,TPL_0012,evening,push,TPL_0013,afternoon,push,TPL_0014,mid_morning,push,TPL_0015,night,push,,,,,,,,,,,,
US_33,Flight-Risk Subscribers,D8-D15,TPL_0026,mid_morning,push,TPL_0027,late_afternoon,push,TPL_0028,afternoon,push,,,,,,,,,,,,,,,,,,
US_34,Dormant Users,D16-D30 (Post-Churn),TPL_0021,night,push,,,,,,,,,,,,,,,,,,,,,,,,
US_35,Slipping Subscribers,D16-D23,TPL_0046,mid_morning,push,TPL_0047,mid_morning,push,TPL_0048,evening,push,TPL_0049,afternoon,push,TPL_0050,mid_morning,push,,,,,,,,,,,,
US_36,AI-Powered Learners,D24-D30,TPL_0001,afternoon,push,TPL_0002,afternoon,push,TPL_0003,evening,push,TPL_0004,evening,push,TPL_0005,afternoon,push,,,,,,,,,,,,
US_37,High-Intent Trialists,D6-D7,TPL_0036,late_afternoon,push,TPL_0037,late_afternoon,push,TPL_0038,mid_morning,push,,,,,,,,,,,,,,,,,,
US_38,Flight-Risk Subscribers,D24-D30,TPL_0026,night,push,TPL_0027,evening,push,TPL_0028,evening,push,,,,,,,,,,,,,,,,,,
US_39,Flight-Risk Subscribers,D16-D23,TPL_0026,early_morning,push,TPL_0027,early_morning,push,TPL_0028,afternoon,push,TPL_0029,mid_morning,push,TPL_0030,night,push,,,,,,,,,,,,
US_40,High-Intent Trialists,D0-D2,TPL_0036,night,push,TPL_0037,evening,push,TPL_0038,mid_morning,push,,,,,,,,,,,,,,,,,,
US_41,Core Curriculum Users,D16-D23,TPL_0016,late_afternoon,push,TPL_0017,early_morning,push,TPL_0018,late_afternoon,push,TPL_0019,evening,push,TPL_0020,afternoon,push,,,,,,,,,,,,
US_42,Dormant Users,D16-D30 (Post-Churn),TPL_0021,late_afternoon,push,,,,,,,,,,,,,,,,,,,,,,,,
US_43,At-Risk Trialists,D6-D7,TPL_0006,afternoon,push,TPL_0007,afternoon,push,TPL_0008,early_morning,push,,,,,,,,,,,,,,,,,,
US_44,High-Intent Trialists,D3-D5,TPL_0036,mid_morning,push,TPL_0037,early_morning,push,TPL_0038,early_morning,push,,,,,,,,,,,,,,,,,,
US_45,Lost Customers,D16-D30 (Post-Churn),TPL_0041,night,email,,,,,,,,,,,,,,,,,,,,,,,,
US_46,Dormant Users,D16-D30 (Post-Churn),TPL_0021,night,push,,,,,,,,,,,,,,,,,,,,,,,,
US_47,Lost Customers,D16-D30 (Post-Churn),TPL_0041,early_morning,email,,,,,,,,,,,,,,,,,,,,,,,,
US_48,Flight-Risk Subscribers,D24-D30,TPL_0026,night,push,TPL_0027,late_afternoon,push,TPL_0028,late_afternoon,push,,,,,,,,,,,,,,,,,,
US_49,AI-Powered Learners,D8-D15,TPL_0001,mid_morning,push,TPL_0002,late_afternoon,push,TPL_0003,late_afternoon,push,TPL_0004,mid_morning,push,TPL_0005,late_afternoon,push,,,,,,,,,,,,
US_50,Slipping Subscribers,D16-D23,TPL_0046,afternoon,push,TPL_0047,late_afternoon,push,TPL_0048,afternoon,push,TPL_0049,early_morning,push,TPL_0050,mid_morning,push,,,,,,,,,,,,
US_51,At-Risk Trialists,D0-D2,TPL_0006,night,push,TPL_0007,night,push,TPL_0008,mid_morning,push,,,,,,,,,,,,,,,,,,
US_52,Flight-Risk Subscribers,D24-D30,TPL_0026,early_morning,push,TPL_0027,early_morning,push,TPL_0028,evening,push,,,,,,,,,,,,,,,,,,
US_53,At-Risk Trialists,D6-D7,TPL_0006,afternoon,push,TPL_0007,night,push,TPL_0008,mid_morning,push,,,,,,,,,,,,,,,,,,
US_54,Lost Customers,D16-D30 (Post-Churn),TPL_0041,night,email,,,,,,,,,,,,,,,,,,,,,,,,
US_55,High-Intent Trialists,D0-D2,TPL_0036,night,push,TPL_0037,night,push,TPL_0038,late_afternoon,push,,,,,,,,,,,,,,,,,,
US_56,High-Intent Trialists,D3-D5,TPL_0036,early_morning,push,TPL_0037,afternoon,push,TPL_0038,afternoon,push,,,,,,,,,,,,,,,,,,
US_57,Dormant Users,D16-D30 (Post-Churn),TPL_0021,night,push,,,,,,,,,,,,,,,,,,,,,,,,
US_58,Dormant Users,D16-D30 (Post-Churn),TPL_0021,evening,push,,,,,,,,,,,,,,,,,,,,,,,,
US_59,Gamified Competitors,D24-D30,TPL_0031,night,push,TPL_0032,evening,push,TPL_0033,mid_morning,push,TPL_0034,evening,push,TPL_0035,early_morning,push,,,,,,,,,,,,
US_60,Flight-Risk Subscribers,D24-D30,TPL_0026,early_morning,push,TPL_0027,late_afternoon,push,TPL_0028,evening,push,TPL_0029,afternoon,push,TPL_0030,evening,push,,,,,,,,,,,,
US_61,Slipping Subscribers,D24-D30,TPL_0046,evening,push,TPL_0047,afternoon,push,TPL_0048,early_morning,push,TPL_0049,night,push,TPL_0050,evening,push,,,,,,,,,,,,
